title,other title,creator,contributor,date,release date,subject,location,region,time period,description,abstract,table of contents,publisher,agency,standard number,rights,rights release,requirements for use,physical characteristics,collection,collection folder,type,language,format original,digital characteristics-a,series,digital collection,format,related items,title replaced by,title replaces,audience,hosted by,metadata creator,url-a,pres file name-m,pres local file path-m,full text,digital creation date-m,digital creator-m,capture tools-m,resolution-m,bit depth-m,security-m,checksum-m,local call number,revision-m,oclc number,date created,date modified,reference url,compound,cdmid,objectid,contentdm file name,full resolution,contentdm file path
State Library employee,,,,1960-10,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,88 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0012.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:5721a68bbc6b854db7e20e408fc86aa7d2618cc4,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/1998,,1998,libraryhistory1998,1997.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0012.jpg,/p249901coll36/image/1997.jp2
State Library employee,,,,1960-10,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,90 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0013.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:55ad244722bfb4a2e9343c4467072a0555988095,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/1999,,1999,libraryhistory1999,1998.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0013.jpg,/p249901coll36/image/1998.jp2
Office and catalog area - 4th floor,,,,1961-10,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,File cabinets used for some privacy,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,43 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0014.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:a9be35bacc75714e166d12a3870c980c4cbf9b1b,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2000,,2000,libraryhistory2000,1999.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0014.jpg,/p249901coll36/image/1999.jp2
Operating Xerox Processing Center,,,,1960,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,120 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0015.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:16c945c452310421da965f81105ad094dbfb477a,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2001,,2001,libraryhistory2001,2000.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0015.jpg,/p249901coll36/image/2000.jp2
Workroom - 1st floor,,,,1961-10,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,"Checking in newspapers, periodicals and books returned.",,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,113 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0016.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:d56f89a5ee887606673ca08c3b4ec4bd333aeb36,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2002,,2002,libraryhistory2002,2001.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0016.jpg,/p249901coll36/image/2001.jp2
Mail room; duplicating room; mechanical equipment for preparing publications; supply storage; staff room; board meeting room - 4th floor,,,,1961-10,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,97 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0018.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:342396c60da37fc898f787be2ee0c29617532084,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2003,,2003,libraryhistory2003,2002.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0018.jpg,/p249901coll36/image/2002.jp2
State Library employee Barbara Johnson,,,,1960-10,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,90 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0019.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:f46096bccabc7ab792715d3ed498bf20bccd1957,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2004,,2004,libraryhistory2004,2003.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0019.jpg,/p249901coll36/image/2003.jp2
State Library employee Ann Galusha,,,,1960-10,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,75 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0020.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:7a769bb7bf6515ab70c028a59f8dba1692c20141,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2005,,2005,libraryhistory2005,2004.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0020.jpg,/p249901coll36/image/2004.jp2
State Library employees: Wes Wesling (Cataloger State Documents) and Ellen Walser (Circulation),,,,,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,389 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0022.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:6a686f8bd807d60bc480d0d05976255b1d17c795,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2006,,2006,libraryhistory2006,2005.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0022.jpg,/p249901coll36/image/2005.jp2
Public Library Director's meeting,,,,,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,"Seated L-R: Martha Davis; Marguerite Heafner; Flora Plyler; Carolyn Oakley; unknown. Middle row:  Far right, State Librarian David McKay. Back row: Far left, Bill O'Shea",,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,668 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0026.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:678a233de457068f165c990fb82c1134abd8245c,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2007,,2007,libraryhistory2007,2006.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0026.jpg,/p249901coll36/image/2006.jp2
Dialog search demonstration,,,,,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,Seated: Joyce Throckmorton; Kneeling: Alan McNeil,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,162 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0028.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:ac517879538a6bbc97c740b9d0f662138d6d862b,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2008,,2008,libraryhistory2008,2007.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0028.jpg,/p249901coll36/image/2007.jp2
State Library Commission,,,,1982-11-09,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,262 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0029.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:a4f3af83e595c92d70ec6f48ff8f53b14feadb69,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2009,,2009,libraryhistory2009,2008.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0029.jpg,/p249901coll36/image/2008.jp2
State Library Adult Films display,,,,,,Libraries--North Carolina--History; Library exhibits;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,398 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0034.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:cb4280adb38eae6763e6965dc42eeda2095ef56d,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2010,,2010,libraryhistory2010,2009.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0034.jpg,/p249901coll36/image/2009.jp2
State Library employees,,,,,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,519 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0038.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:ef430e7aa860731af7ea31754855d55f8832436e,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2011,,2011,libraryhistory2011,2010.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0038.jpg,/p249901coll36/image/2010.jp2
State Library Adult Films promotional photograph,,,,,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,317 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0037.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:eca4496fc4096f2bfac5af7668c799860e7d2c8f,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2012,,2012,libraryhistory2012,2011.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0037.jpg,/p249901coll36/image/2011.jp2
State Library employees at Solinet terminals,,,,,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,"L-R: Sandra Dunn, Nancy Cowan, Benji Hester",,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,356 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0040.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:ec5366c816f2e847ae6f490690dffe1701338113,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2013,,2013,libraryhistory2013,2012.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0040.jpg,/p249901coll36/image/2012.jp2
State Library employee Connie Hughes,,,,1996,,Libraries--North Carolina--History;,"North Carolina, United States",,(1990-current) Contemporary;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,93 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0045.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:fd600fcd44c5677f4902f4497f09e9caca2ae5c1,,,,2012-05-01,2012-06-07,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2014,,2014,libraryhistory2014,2013.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0045.jpg,/p249901coll36/image/2013.jp2
Depository library designation ceremony,,,,1972-08-30,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,"L-R: Robert E. Kling, Jr.; Hon. B. Everette Jordan; Raymond A. Taylor",,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,345 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0042.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:6c36eef545a0877b4b94af67a689ce0bd7d16675,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2015,,2015,libraryhistory2015,2014.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0042.jpg,/p249901coll36/image/2014.jp2
State Library employee Gary Harden,,,,1996,,Libraries--North Carolina--History;,"North Carolina, United States",,(1990-current) Contemporary;,,,,,North Carolina Department of Natural and Cultural Resources,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,98 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0052.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,"20170417 AG corrected ""Hardin"" to ""Harden""",2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:a97b1e63d80bf4ec5ecbefa624cd09fa419a72cf,,,,2012-05-01,2017-04-17,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2016,,2016,libraryhistory2016,2015.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0052.jpg,/p249901coll36/image/2015.jp2
"State Library, Library Development employees",,,,,,Libraries--North Carolina--History,"North Carolina, United States",,(1990-current) Contemporary,"Front row (L-R): Penny Hornsby, Diana Young, Connie Hughes, Lorice Hyman, unknown, Betty Bass, Barbara Akinwole. Back row (L-R): Vicki Wheeler, John Welch, Anne Marie Elkins, Gary Harden, Cal Shepard, Mary Hastings",,,,North Carolina Department of Natural and Cultural Resources,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,106 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0046.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:e92671b4ef0059c7e28b7fe73525ca915a3315ef,,20170417 AG - updated list of names per row due to staff-provided corrections,,2012-05-01,2017-04-17,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2017,,2017,libraryhistory2017,2016.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0046.jpg,/p249901coll36/image/2016.jp2
State Library employee Diana Young,,,,1996,,Libraries--North Carolina--History;,"North Carolina, United States",,(1990-current) Contemporary;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,63 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0047.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:bbc4d3fce69caed0b20b3bf644703bf1b437bd17,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2018,,2018,libraryhistory2018,2017.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0047.jpg,/p249901coll36/image/2017.jp2
State Library employee John Welch,,,,1996,,Libraries--North Carolina--History;,"North Carolina, United States",,(1990-current) Contemporary;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,49 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0048.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:31ee341b158974d31a261a3637f81b73586cd69f,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2019,,2019,libraryhistory2019,2018.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0048.jpg,/p249901coll36/image/2018.jp2
"State Library employees Joel Sigmon, Doris Holloway, and Karen Hunter",,,,1996,,Libraries--North Carolina--History;,"North Carolina, United States",,(1990-current) Contemporary;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,110 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0050.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:7785c3a402dd9a61fff8f5c5002d7ff259f702bb,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2020,,2020,libraryhistory2020,2019.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0050.jpg,/p249901coll36/image/2019.jp2
State Library employee Barbara Akinwole,,,,1996,,Libraries--North Carolina--History;,"North Carolina, United States",,(1990-current) Contemporary;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,101 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0051.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:3e9a685c98d2585edcc1d8bdc1a1e20103099654,,,,2012-05-01,2012-06-07,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2021,,2021,libraryhistory2021,2020.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0051.jpg,/p249901coll36/image/2020.jp2
Special services,,,,,,Libraries--North Carolina--History;,"North Carolina, United States",,(1990-current) Contemporary;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,171 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0090.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:94be874a96a1b0ca4b514fc48e6c93e72e7977ae,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2022,,2022,libraryhistory2022,2021.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0090.jpg,/p249901coll36/image/2021.jp2
State Library employee Jane Moore,,,,1996,,Libraries--North Carolina--History;,"North Carolina, United States",,(1990-current) Contemporary;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,117 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0053.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:7150710faed68913321181f99c015da119ae280d,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2023,,2023,libraryhistory2023,2022.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0053.jpg,/p249901coll36/image/2022.jp2
State Library employee Mary Hastings,,,,1996,,Libraries--North Carolina--History;,"North Carolina, United States",,(1990-current) Contemporary;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,92 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0054.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:842596cd6aad0adbc29b198ba37a3f4980684270,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2024,,2024,libraryhistory2024,2023.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0054.jpg,/p249901coll36/image/2023.jp2
Basement processing center,,,,,,Libraries--North Carolina--History;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,168 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0091.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:39ce6f52c5c41aa2f2d2012b5e812e561ac61382,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2025,,2025,libraryhistory2025,2024.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0091.jpg,/p249901coll36/image/2024.jp2
Reading Braille,,,,,,Libraries--North Carolina--History; Libraries and the blind--North Carolina;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,106 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0093.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:c8da594b2920a3c83fb7dc380ac5d5c46ad22448,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2026,,2026,libraryhistory2026,2025.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0093.jpg,/p249901coll36/image/2025.jp2
Reference librarian Marge Lindsey,,,,,,Libraries--North Carolina--History; Library information desks;,"North Carolina, United States",,(1945-1989) Post War/Cold War period;,,,,,North Carolina Department of Cultural Resources;,,"Public Domain see http://digital.ncdcr.gov/u?/p249901coll22,63753;",,,,State Library of North Carolina;,,Image;,English,Photographs,130 KB,,State Library Bicentennial,image/jpg,,,,All,State Library of North Carolina,"Kenney, Kathleen",,slnc_statelibrarybicentennialimage_0096.tif,J:\lib\Preservation_content\StatePubs\pubs_slnc\images_master,,2011-02,"Kenney, Kathleen",Epson Expression 10000XL;,600,24,,SHA-1:ee5050569a61df562a99030564241c81417480be,,,,2012-05-01,2012-05-01,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/2027,,2027,libraryhistory2027,2026.jp2,TTSVolume16/slnc_statelibrarybicentennialimage_0096.jpg,/p249901coll36/image/2026.jp2
